"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.217360217554474,0.0201709764342553,-75.663134997172,0,0.2089193869312,0.226109219955652
"WaitingDays",1.02317980170982,0.000542272541138512,42.2577745217654,0,1.02209365727482,1.02426865878486
"SMS_receivedYes",1.41813295394769,0.0188483572312158,18.5343041320996,1.09193073311582e-76,1.36666798304177,1.47146842855251
"Age",0.992423454585255,0.000445111645496894,-17.0864845157434,1.87119814702909e-65,0.991557180979522,0.993288787991946
"ScholarshipYes",1.28417045936898,0.0275289546131817,9.08545044621995,1.03270169521326e-19,1.21650719459455,1.35513373064294
"HipertensionYes",0.941453907940328,0.0279868560657148,-2.1556507785811,0.0311109443220712,0.891110487514242,0.994438363569107
"DiabetesYes",1.15157120381893,0.0388392115782227,3.63362870514603,0.000279462943089807,1.06684167779917,1.24229597337913
"AlcoholismYes",1.22777677011725,0.0502344065779875,4.08494981601204,4.40863437725824e-05,1.11174208739729,1.35375203784584
"GenderM",0.983728156065947,0.0184568005908476,-0.888869345352007,0.374073301954176,0.948744911541054,1.01993110204253
